id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,29,26,2024-08-09,0.21,1,326,0,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,129,3,138,2025-07-28,0.69,11,67,9,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,168,3,141,2025-07-29,0.72,11,56,8,STR-491702
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,140,91,29,2024-05-15,0.21,4,277,0,
10811,Bostons Best Rentals -Studio Prestigious Back Bay,38997,Michelle,,Back Bay,42.35173,-71.08685,Entire home/apt,166,91,9,2019-07-22,0.08,12,218,0,
10813,The Back Bay Nook  -Brownstone in Prestigious Area,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,202,32,6,2025-06-30,0.08,12,117,1,
10986,The Olive & Vine in The North End-Walk to MGH Tuft,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,202,60,2,2025-03-31,0.10,12,330,1,
18711,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,162,30,51,2023-08-19,0.27,58,286,0,
29765,Moroccan Decor Suite,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,323,2,103,2024-10-27,0.55,1,173,2,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,91,14,103,2025-05-11,0.56,1,341,3,STR-551851
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,176,29,143,2025-08-23,0.78,1,44,3,STR-409822
47521,Bright Furnished Room with Separate Entrance,119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,59,3,334,2024-09-02,1.82,5,61,0,STR-595734
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,72,29,145,2024-02-29,0.81,1,233,0,STR-415714
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Beacon Hill,42.35894,-71.0631,Entire home/apt,106,32,19,2020-09-08,0.13,4,114,0,
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,29,71,2023-11-04,0.42,1,365,0,STR-415924
77691,Private room in Victorian house,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,,29,304,2025-01-10,1.72,5,324,2,STR-580274
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,225,3,317,2025-09-08,1.85,11,45,34,STR-446659
